record_id,pump_id,timestamp,temperature,vibration,current,rpm,pressure,well_id,pump_type,failure_date,failure_type,has_failure,temperature_ma6,temperature_rate,vibration_ma6,vibration_rate,current_ma6,current_rate,rpm_ma6,rpm_rate,pressure_ma6,pressure_rate,hour,day_of_week
17,1,2025-10-03 00:00:00,77.5,3.9,61.0,1492.0,124.8,1,ESP-500,2025-10-04 02:00:00,Overheating,0,74.96666666666667,1.7060367454068204,3.016666666666667,8.333333333333329,59.63333333333333,0.8264462809917356,1482.0,0.20147750167897915,123.63333333333333,0.24096385542168447,0,4
18,1,2025-10-03 03:00:00,78.2,4.5,61.5,1495.0,125.3,1,ESP-500,2025-10-04 02:00:00,Overheating,1,75.78333333333333,0.9032258064516167,3.3833333333333333,15.384615384615389,60.11666666666667,0.819672131147541,1485.5,0.20107238605898123,124.06666666666666,0.4006410256410257,3,4
19,1,2025-10-03 06:00:00,79.1,5.0,62.0,1498.0,125.8,1,ESP-500,2025-10-04 02:00:00,Overheating,1,76.7,1.1508951406649508,3.816666666666667,11.11111111111111,60.666666666666664,0.8130081300813009,1489.3333333333333,0.2006688963210702,124.56666666666666,0.39904229848363926,6,4
20,1,2025-10-03 09:00:00,80.5,5.6,62.5,1500.0,126.4,1,ESP-500,2025-10-04 02:00:00,Overheating,1,77.75,1.769911504424786,4.283333333333333,11.999999999999993,61.21666666666666,0.8064516129032258,1492.8333333333333,0.13351134846461948,125.09999999999998,0.476947535771072,9,4
21,1,2025-10-03 12:00:00,81.7,6.3,63.0,1502.0,126.9,1,ESP-500,2025-10-04 02:00:00,Overheating,1,78.86666666666666,1.4906832298136683,4.816666666666666,12.500000000000004,61.75,0.8,1496.0,0.13333333333333333,125.61666666666667,0.3955696202531645,12,4
22,1,2025-10-03 15:00:00,82.8,7.2,63.5,1503.0,127.4,1,ESP-500,2025-10-04 02:00:00,Overheating,1,79.96666666666665,1.3463892288861619,5.416666666666667,14.28571428571429,62.25,0.7936507936507936,1498.3333333333333,0.06657789613848203,126.10000000000001,0.3940110323089046,15,4
23,1,2025-10-03 18:00:00,83.9,8.0,64.0,1505.0,127.8,1,ESP-500,2025-10-04 02:00:00,Overheating,1,81.03333333333333,1.3285024154589475,6.099999999999999,11.111111111111107,62.75,0.7874015748031495,1500.5,0.1330671989354624,126.60000000000001,0.3139717425431644,18,4
24,1,2025-10-03 21:00:00,85.1,9.1,65.2,1508.0,128.3,1,ESP-500,2025-10-04 02:00:00,Overheating,1,82.18333333333334,1.4302741358760294,6.866666666666666,13.749999999999996,63.366666666666674,1.8750000000000044,1502.6666666666667,0.19933554817275745,127.10000000000001,0.39123630672927556,21,4
41,3,2025-10-03 00:00:00,73.2,3.8,56.3,1452.0,117.9,2,Centrifugal-300,2025-10-04 06:00:00,Bearing vibration,0,72.0,0.8264462809917473,3.25,8.571428571428566,55.73333333333334,0.5357142857142806,1446.5,0.2070393374741201,117.33333333333333,0.25510204081633625,0,4
42,3,2025-10-03 03:00:00,74.0,4.3,56.8,1456.0,118.3,2,Centrifugal-300,2025-10-04 06:00:00,Bearing vibration,0,72.48333333333333,1.092896174863384,3.5,13.157894736842104,55.98333333333333,0.8880994671403198,1448.8333333333333,0.27548209366391185,117.56666666666666,0.33927056827819463,3,4
